Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BaoCaoLogin,Firefox 59.0,,2018-03-27 13:17:25,2018-03-27 13:18:23,57.382s,PASSED
,,,,,,
Test Cases/CBLogin,Firefox 59.0,,2018-03-27 13:17:26,2018-03-27 13:17:27,1.491s,PASSED
"Statement - info = [""url"":"""", ""username"":"""", ""password"":""""]",Firefox 59.0,,2018-03-27 13:17:26,2018-03-27 13:17:26,0.002s,PASSED
"Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/DataLogin"")",Firefox 59.0,,2018-03-27 13:17:26,2018-03-27 13:17:27,1.071s,PASSED
"Statement - url = data.getValue(1, 1)",Firefox 59.0,,2018-03-27 13:17:27,2018-03-27 13:17:27,0.029s,PASSED
"Statement - username = data.getValue(2, 1)",Firefox 59.0,,2018-03-27 13:17:27,2018-03-27 13:17:27,0.002s,PASSED
"Statement - password = data.getValue(3, 1)",Firefox 59.0,,2018-03-27 13:17:27,2018-03-27 13:17:27,0.002s,PASSED
Statement - return info,Firefox 59.0,,2018-03-27 13:17:27,2018-03-27 13:17:27,0.002s,PASSED
,,,,,,
Test Cases/login,Firefox 59.0,,2018-03-27 13:17:27,2018-03-27 13:18:22,54.948s,PASSED
"Statement - info = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(CBLogin), [:], STOP_ON_FAILURE)",Firefox 59.0,,2018-03-27 13:17:27,2018-03-27 13:17:28,0.331s,PASSED
Statement - url = url,Firefox 59.0,,2018-03-27 13:17:28,2018-03-27 13:17:28,0.003s,PASSED
Statement - username = username,Firefox 59.0,,2018-03-27 13:17:28,2018-03-27 13:17:28,0.003s,PASSED
Statement - password = password,Firefox 59.0,,2018-03-27 13:17:28,2018-03-27 13:17:28,0.012s,PASSED
openBrowser,Firefox 59.0,,2018-03-27 13:17:28,2018-03-27 13:17:46,18.778s,PASSED
setText,Firefox 59.0,,2018-03-27 13:17:46,2018-03-27 13:17:47,0.177s,PASSED
setText,Firefox 59.0,,2018-03-27 13:17:47,2018-03-27 13:17:48,1.026s,PASSED
click,Firefox 59.0,,2018-03-27 13:17:48,2018-03-27 13:18:22,34.344s,PASSED
