Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BaoCaoTestCaseTimKiem,Firefox 59.0,,2018-03-18 06:35:47,2018-03-18 06:36:51,1m - 3.854s,PASSED
,,,,,,
Test Cases/TimKiem/TC01_TimKiemKhongRaKQ,Firefox 59.0,,2018-03-18 06:35:48,2018-03-18 06:36:02,13.817s,PASSED
openBrowser,Firefox 59.0,,2018-03-18 06:35:49,2018-03-18 06:35:57,7.794s,PASSED
navigateToUrl,Firefox 59.0,,2018-03-18 06:35:57,2018-03-18 06:35:59,2.339s,PASSED
click,Firefox 59.0,,2018-03-18 06:35:59,2018-03-18 06:35:59,0.369s,PASSED
setText,Firefox 59.0,,2018-03-18 06:35:59,2018-03-18 06:35:59,0.234s,PASSED
click,Firefox 59.0,,2018-03-18 06:35:59,2018-03-18 06:36:01,2.032s,PASSED
verifyElementText,Firefox 59.0,,2018-03-18 06:36:01,2018-03-18 06:36:02,0.084s,PASSED
closeBrowser,Firefox 59.0,,2018-03-18 06:36:02,2018-03-18 06:36:02,0.374s,PASSED
,,,,,,
Test Cases/TimKiem/TC02_TimKiemCoDuLieuTrongDB,Firefox 59.0,,2018-03-18 06:36:02,2018-03-18 06:36:15,12.773s,PASSED
openBrowser,Firefox 59.0,,2018-03-18 06:36:02,2018-03-18 06:36:09,6.443s,PASSED
navigateToUrl,Firefox 59.0,,2018-03-18 06:36:09,2018-03-18 06:36:12,2.903s,PASSED
click,Firefox 59.0,,2018-03-18 06:36:12,2018-03-18 06:36:12,0.325s,PASSED
setText,Firefox 59.0,,2018-03-18 06:36:12,2018-03-18 06:36:12,0.141s,PASSED
click,Firefox 59.0,,2018-03-18 06:36:12,2018-03-18 06:36:14,2.244s,PASSED
verifyElementText,Firefox 59.0,,2018-03-18 06:36:14,2018-03-18 06:36:14,0.080s,PASSED
closeBrowser,Firefox 59.0,,2018-03-18 06:36:14,2018-03-18 06:36:15,0.352s,PASSED
,,,,,,
Test Cases/TimKiem/TC03_KhongNhapGiaTriTimKiem,Firefox 59.0,,2018-03-18 06:36:15,2018-03-18 06:36:28,13.339s,PASSED
openBrowser,Firefox 59.0,,2018-03-18 06:36:15,2018-03-18 06:36:22,6.687s,PASSED
navigateToUrl,Firefox 59.0,,2018-03-18 06:36:22,2018-03-18 06:36:24,2.084s,PASSED
click,Firefox 59.0,,2018-03-18 06:36:24,2018-03-18 06:36:24,0.327s,PASSED
click,Firefox 59.0,,2018-03-18 06:36:24,2018-03-18 06:36:28,4.008s,PASSED
,,,,,,
Test Cases/TimKiem/TC04_NhapVuaChuVuaSo,Firefox 59.0,,2018-03-18 06:36:28,2018-03-18 06:36:41,12.560s,PASSED
openBrowser,Firefox 59.0,,2018-03-18 06:36:28,2018-03-18 06:36:35,6.873s,PASSED
navigateToUrl,Firefox 59.0,,2018-03-18 06:36:35,2018-03-18 06:36:37,1.871s,PASSED
click,Firefox 59.0,,2018-03-18 06:36:37,2018-03-18 06:36:37,0.355s,PASSED
setText,Firefox 59.0,,2018-03-18 06:36:37,2018-03-18 06:36:38,0.145s,PASSED
click,Firefox 59.0,,2018-03-18 06:36:38,2018-03-18 06:36:40,2.516s,PASSED
verifyElementText,Firefox 59.0,,2018-03-18 06:36:40,2018-03-18 06:36:40,0.063s,PASSED
closeBrowser,Firefox 59.0,,2018-03-18 06:36:40,2018-03-18 06:36:41,0.483s,PASSED
,,,,,,
Test Cases/TimKiem/TC05_NhapGiaTriDacBiet,Firefox 59.0,,2018-03-18 06:36:41,2018-03-18 06:36:51,10.574s,PASSED
openBrowser,Firefox 59.0,,2018-03-18 06:36:41,2018-03-18 06:36:46,5.194s,PASSED
navigateToUrl,Firefox 59.0,,2018-03-18 06:36:46,2018-03-18 06:36:48,2.212s,PASSED
click,Firefox 59.0,,2018-03-18 06:36:48,2018-03-18 06:36:49,0.332s,PASSED
setText,Firefox 59.0,,2018-03-18 06:36:49,2018-03-18 06:36:49,0.141s,PASSED
click,Firefox 59.0,,2018-03-18 06:36:49,2018-03-18 06:36:51,1.989s,PASSED
verifyElementText,Firefox 59.0,,2018-03-18 06:36:51,2018-03-18 06:36:51,0.049s,PASSED
closeBrowser,Firefox 59.0,,2018-03-18 06:36:51,2018-03-18 06:36:51,0.438s,PASSED
