Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BaoCaotestCaseThemSPVaoGioHang,Firefox 59.0,,2018-03-18 07:38:34,2018-03-18 07:41:40,3m - 5.591s,PASSED
,,,,,,
Test Cases/TC01_ThemSPVaoGioHang,Firefox 59.0,,2018-03-18 07:38:35,2018-03-18 07:39:33,58.530s,PASSED
openBrowser,Firefox 59.0,,2018-03-18 07:38:35,2018-03-18 07:38:44,8.936s,PASSED
navigateToUrl,Firefox 59.0,,2018-03-18 07:38:44,2018-03-18 07:39:26,41.340s,PASSED
click,Firefox 59.0,,2018-03-18 07:39:26,2018-03-18 07:39:26,0.324s,PASSED
delay,Firefox 59.0,,2018-03-18 07:39:26,2018-03-18 07:39:27,1.039s,PASSED
click,Firefox 59.0,,2018-03-18 07:39:27,2018-03-18 07:39:33,6.292s,PASSED
verifyElementText,Firefox 59.0,,2018-03-18 07:39:33,2018-03-18 07:39:33,0.069s,PASSED
,,,,,,
Test Cases/TC02_TangSoLuongSPTrongGioHang,Firefox 59.0,,2018-03-18 07:39:33,2018-03-18 07:39:50,16.614s,PASSED
callTestCase,Firefox 59.0,,2018-03-18 07:39:34,2018-03-18 07:39:45,11.650s,PASSED
"Statement - For ([i = 0, i < 19, (i++)])",Firefox 59.0,,2018-03-18 07:39:45,2018-03-18 07:39:50,4.690s,PASSED
,,,,,,
Test Cases/TC03_ChonMotSPNhieuLan,Firefox 59.0,,2018-03-18 07:39:50,2018-03-18 07:40:06,15.509s,PASSED
openBrowser,Firefox 59.0,,2018-03-18 07:39:50,2018-03-18 07:39:57,6.407s,PASSED
navigateToUrl,Firefox 59.0,,2018-03-18 07:39:57,2018-03-18 07:39:59,2.509s,PASSED
"Statement - For ([i = 0, i < 20, (i++)])",Firefox 59.0,,2018-03-18 07:39:59,2018-03-18 07:40:04,5.007s,PASSED
click,Firefox 59.0,,2018-03-18 07:40:04,2018-03-18 07:40:06,1.387s,PASSED
,,,,,,
Test Cases/TC04_ThemSPKhacLoai,Firefox 59.0,,2018-03-18 07:40:06,2018-03-18 07:40:58,51.954s,PASSED
openBrowser,Firefox 59.0,,2018-03-18 07:40:06,2018-03-18 07:40:12,6.530s,PASSED
navigateToUrl,Firefox 59.0,,2018-03-18 07:40:12,2018-03-18 07:40:32,20.077s,PASSED
click,Firefox 59.0,,2018-03-18 07:40:32,2018-03-18 07:40:46,13.481s,PASSED
click,Firefox 59.0,,2018-03-18 07:40:46,2018-03-18 07:40:46,0.313s,PASSED
delay,Firefox 59.0,,2018-03-18 07:40:46,2018-03-18 07:40:47,1.004s,PASSED
click,Firefox 59.0,,2018-03-18 07:40:47,2018-03-18 07:40:49,1.374s,PASSED
click,Firefox 59.0,,2018-03-18 07:40:49,2018-03-18 07:40:49,0.288s,PASSED
delay,Firefox 59.0,,2018-03-18 07:40:49,2018-03-18 07:40:50,1.003s,PASSED
click,Firefox 59.0,,2018-03-18 07:40:50,2018-03-18 07:40:51,1.244s,PASSED
click,Firefox 59.0,,2018-03-18 07:40:51,2018-03-18 07:40:51,0.298s,PASSED
delay,Firefox 59.0,,2018-03-18 07:40:51,2018-03-18 07:40:52,1.002s,PASSED
click,Firefox 59.0,,2018-03-18 07:40:52,2018-03-18 07:40:54,1.136s,PASSED
click,Firefox 59.0,,2018-03-18 07:40:54,2018-03-18 07:40:54,0.289s,PASSED
delay,Firefox 59.0,,2018-03-18 07:40:54,2018-03-18 07:40:55,1.003s,PASSED
click,Firefox 59.0,,2018-03-18 07:40:55,2018-03-18 07:40:58,2.702s,PASSED
,,,,,,
Test Cases/TC05_XoaMotSoSPCoTrongGioHang,Firefox 59.0,,2018-03-18 07:40:58,2018-03-18 07:41:20,22.207s,PASSED
callTestCase,Firefox 59.0,,2018-03-18 07:40:58,2018-03-18 07:41:19,21.708s,PASSED
click,Firefox 59.0,,2018-03-18 07:41:19,2018-03-18 07:41:20,0.283s,PASSED
,,,,,,
Test Cases/TC06_ClickVaoMotSPTrongGH,Firefox 59.0,,2018-03-18 07:41:20,2018-03-18 07:41:39,19.595s,PASSED
callTestCase,Firefox 59.0,,2018-03-18 07:41:20,2018-03-18 07:41:39,19.138s,PASSED
click,Firefox 59.0,,2018-03-18 07:41:39,2018-03-18 07:41:39,0.257s,PASSED
